state_old,district_old,state_new,district_new
Andaman And Nicobar Islands,North And Middle Andaman,andaman and nicobar islands,north and middle andaman
Andaman And Nicobar Islands,South Andamans,andaman and nicobar islands,south andamans
Andhra Pradesh,Anantapur,andhra pradesh,anantapur
Andhra Pradesh,Chittoor,andhra pradesh,chittoor
Andhra Pradesh,East Godavari,andhra pradesh,east godavari
Andhra Pradesh,Guntur,andhra pradesh,guntur
Andhra Pradesh,Krishna,andhra pradesh,krishna
Andhra Pradesh,Kurnool,andhra pradesh,kurnool
Andhra Pradesh,Prakasam,andhra pradesh,prakasam
Andhra Pradesh,Spsr Nellore,andhra pradesh,sri potti sriramulu nellore
Andhra Pradesh,Srikakulam,andhra pradesh,srikakulam
Andhra Pradesh,Visakhapatanam,andhra pradesh,visakhapatanam
Andhra Pradesh,Vizianagaram,andhra pradesh,vizianagaram
Andhra Pradesh,West Godavari,andhra pradesh,west godavari
Andhra Pradesh,Y.s.r.,andhra pradesh,ysr kadapa
Arunachal Pradesh,Dibang Valley,arunachal pradesh,dibang valley
Arunachal Pradesh,East Kameng,arunachal pradesh,east kameng
Arunachal Pradesh,East Siang,arunachal pradesh,east siang
Arunachal Pradesh,Leparada,arunachal pradesh,west siang
Arunachal Pradesh,Lower Dibang Valley,arunachal pradesh,lower dibang valley
Arunachal Pradesh,Pakke Kessang,arunachal pradesh,east kameng
Arunachal Pradesh,Upper Subansiri,arunachal pradesh,upper subansiri
Arunachal Pradesh,West Kameng,arunachal pradesh,west kameng
Arunachal Pradesh,West Siang,arunachal pradesh,west siang
Assam,Baksa,assam,baksa
Assam,Barpeta,assam,barpeta
Assam,Bongaigaon,assam,bongaigaon
Assam,Cachar,assam,cachar
Assam,Charaideo,assam,sivasagar
Assam,Chirang,assam,chirang
Assam,Dhemaji,assam,dhemaji
Assam,Dhubri,assam,dhubri
Assam,Dibrugarh,assam,dibrugarh
Assam,Dima Hasao,assam,dima hasao
Assam,Goalpara,assam,goalpara
Assam,Golaghat,assam,golaghat
Assam,Hailakandi,assam,hailakandi
Assam,Jorhat,assam,jorhat
Assam,Kamrup,assam,kamrup
Assam,Karbi Anglong,assam,karbi anglong
Assam,Kokrajhar,assam,kokrajhar
Assam,Marigaon,assam,morigaon
Assam,Nagaon,assam,nagaon
Assam,Nalbari,assam,nalbari
Assam,Sonitpur,assam,sonitpur
Assam,Tinsukia,assam,tinsukia
Assam,Udalguri,assam,udalguri
Assam,West Karbi Anglong,assam,karbi anglong
Bihar,Araria,bihar,araria
Bihar,Arwal,bihar,arwal
Bihar,Aurangabad,bihar,aurangabad
Bihar,Banka,bihar,banka
Bihar,Begusarai,bihar,begusarai
Bihar,Bhagalpur,bihar,bhagalpur
Bihar,Bhojpur,bihar,bhojpur
